City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Lagoa,PT,39.05,-27.98,69.78,85,98,15.41,overcast clouds
313,Zeya,RU,53.75,127.27,46.09,63,100,11.52,overcast clouds
314,Binzhou,CN,37.37,118.02,63.0,26,59,3.0,broken clouds
315,Moose Factory,CA,51.26,-80.61,33.8,86,90,4.7,overcast clouds
316,Malibu,US,34.01,-118.81,73.99,99,0,1.99,clear sky
317,Dongsheng,CN,39.82,109.98,40.89,53,0,10.67,clear sky
318,Indaial,BR,-26.9,-49.23,60.01,91,100,2.19,overcast clouds
319,Mar Del Plata,AR,-38.0,-57.56,42.01,75,75,8.05,broken clouds
320,Puerto Narino,CO,-3.77,-70.38,71.69,92,83,0.74,broken clouds
321,Margate,GB,51.38,1.39,50.0,94,100,1.99,light rain
322,San Cristobal,VE,7.77,-72.22,64.42,91,96,1.23,overcast clouds
323,Tarko-Sale,RU,64.92,77.78,35.01,76,100,1.99,very heavy rain
324,Nome,US,64.5,-165.41,44.6,87,90,6.93,overcast clouds
325,Warrington,GB,53.39,-2.58,52.0,93,75,6.93,broken clouds
326,Surt,LY,31.21,16.59,87.1,23,0,20.18,clear sky
327,Lavrentiya,RU,65.58,-171.0,34.88,86,96,12.73,overcast clouds
328,Ajdabiya,LY,30.76,20.23,84.51,24,0,18.07,clear sky
329,Dondo,MZ,-19.61,34.74,73.4,94,20,3.36,mist
330,Chokurdakh,RU,70.63,147.92,31.51,91,76,9.44,broken clouds
331,Airai,TL,-8.93,125.41,74.14,58,88,4.03,overcast clouds
332,Kirkuk,IQ,35.47,44.39,88.66,16,2,2.59,clear sky
333,Biak,ID,-0.91,122.88,82.72,71,100,4.94,moderate rain
334,Ketchikan,US,55.34,-131.65,53.6,100,75,4.7,broken clouds
335,Coihaique,CL,-45.58,-72.07,35.6,64,18,3.36,few clouds
336,Haimen,CN,23.19,116.61,89.6,59,20,4.47,few clouds
337,Riverton,US,40.52,-111.94,57.99,38,0,2.01,clear sky
338,Labuhan,ID,-6.88,112.21,90.34,48,95,7.76,overcast clouds
339,Mayo,US,38.89,-76.51,55.4,100,1,5.82,clear sky
340,Grindavik,IS,63.84,-22.43,39.2,100,90,16.11,light intensity drizzle
341,Khani,GE,41.96,42.96,60.8,93,40,1.12,scattered clouds
342,Zavodouspenskoye,RU,56.86,65.02,37.4,64,75,15.66,broken clouds
343,Richards Bay,ZA,-28.78,32.04,67.46,92,100,12.5,moderate rain
344,Tasiilaq,GL,65.61,-37.64,32.0,82,89,2.24,overcast clouds
345,Ugoofaaru,MV,5.67,73.0,82.29,74,28,10.2,scattered clouds
346,Deputatskiy,RU,69.3,139.9,25.45,94,56,10.76,broken clouds
347,Meulaboh,ID,4.14,96.13,87.4,59,96,10.47,overcast clouds
348,Necochea,AR,-38.55,-58.74,35.01,82,0,3.0,clear sky
349,Lasa,IT,46.62,10.7,50.0,100,90,5.82,overcast clouds
350,Waipawa,NZ,-41.41,175.52,60.8,72,23,24.16,few clouds
351,Kismayo,SO,-0.36,42.55,81.75,71,100,11.81,overcast clouds
